2018-06-14 15:49:30.453039: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-06-14 15:49:30.717287: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 7.81GiB
2018-06-14 15:49:30.717315: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
step: 62400, v_ppl: 84.637935, tst_ppl: 78.245081, mean_rwd: 0.001629, exp_rwd_loss: 0.004933, update_loss: 1.314875
step: 62500, v_ppl: 84.637908, tst_ppl: 78.245061, mean_rwd: -0.001714, exp_rwd_loss: 0.006340, update_loss: -1.896067
step: 62600, v_ppl: 84.637947, tst_ppl: 78.245103, mean_rwd: -0.009662, exp_rwd_loss: 0.010772, update_loss: -7.740608
step: 62700, v_ppl: 84.637918, tst_ppl: 78.245071, mean_rwd: -0.004013, exp_rwd_loss: 0.008564, update_loss: -3.224869
step: 62800, v_ppl: 84.637876, tst_ppl: 78.245026, mean_rwd: -0.003347, exp_rwd_loss: 0.004965, update_loss: -2.712969
step: 62900, v_ppl: 84.637845, tst_ppl: 78.244998, mean_rwd: 0.010628, exp_rwd_loss: 0.012480, update_loss: 7.779439
step: 63000, v_ppl: 84.637803, tst_ppl: 78.244951, mean_rwd: 0.000071, exp_rwd_loss: 0.005070, update_loss: -0.021261
step: 63100, v_ppl: 84.637715, tst_ppl: 78.244875, mean_rwd: 0.003864, exp_rwd_loss: 0.006321, update_loss: 2.949891
step: 63200, v_ppl: 84.637681, tst_ppl: 78.244841, mean_rwd: -0.001402, exp_rwd_loss: 0.003938, update_loss: -1.425641
step: 63300, v_ppl: 84.637663, tst_ppl: 78.244828, mean_rwd: -0.003073, exp_rwd_loss: 0.004909, update_loss: -2.303104
step: 63400, v_ppl: 84.637648, tst_ppl: 78.244817, mean_rwd: 0.006294, exp_rwd_loss: 0.008458, update_loss: 5.259454
step: 63500, v_ppl: 84.637635, tst_ppl: 78.244808, mean_rwd: 0.000853, exp_rwd_loss: 0.004435, update_loss: 0.577496
step: 63600, v_ppl: 84.637616, tst_ppl: 78.244776, mean_rwd: 0.004847, exp_rwd_loss: 0.005560, update_loss: 3.847749
step: 63700, v_ppl: 84.637640, tst_ppl: 78.244799, mean_rwd: -0.008255, exp_rwd_loss: 0.009165, update_loss: -6.357053
step: 63800, v_ppl: 84.637567, tst_ppl: 78.244721, mean_rwd: 0.001251, exp_rwd_loss: 0.004117, update_loss: 1.098292
step: 63900, v_ppl: 84.637636, tst_ppl: 78.244799, mean_rwd: -0.010259, exp_rwd_loss: 0.010925, update_loss: -7.837611
step: 64000, v_ppl: 84.637625, tst_ppl: 78.244787, mean_rwd: -0.002487, exp_rwd_loss: 0.004004, update_loss: -1.807384
step: 64100, v_ppl: 84.637673, tst_ppl: 78.244838, mean_rwd: -0.007750, exp_rwd_loss: 0.009142, update_loss: -5.744451
step: 64200, v_ppl: 84.637652, tst_ppl: 78.244810, mean_rwd: 0.002415, exp_rwd_loss: 0.005050, update_loss: 1.711120
step: 64300, v_ppl: 84.637608, tst_ppl: 78.244761, mean_rwd: -0.004922, exp_rwd_loss: 0.006198, update_loss: -3.572248
step: 64400, v_ppl: 84.637584, tst_ppl: 78.244742, mean_rwd: 0.003552, exp_rwd_loss: 0.006455, update_loss: 2.617106
step: 64500, v_ppl: 84.637529, tst_ppl: 78.244678, mean_rwd: 0.003925, exp_rwd_loss: 0.005731, update_loss: 3.043290
step: 64600, v_ppl: 84.637550, tst_ppl: 78.244703, mean_rwd: -0.002127, exp_rwd_loss: 0.004392, update_loss: -1.800881
step: 64700, v_ppl: 84.637561, tst_ppl: 78.244719, mean_rwd: -0.002777, exp_rwd_loss: 0.004470, update_loss: -2.231325
step: 64800, v_ppl: 84.637555, tst_ppl: 78.244716, mean_rwd: -0.002284, exp_rwd_loss: 0.004130, update_loss: -1.791938
step: 64900, v_ppl: 84.637558, tst_ppl: 78.244714, mean_rwd: 0.002219, exp_rwd_loss: 0.004063, update_loss: 1.776055
step: 65000, v_ppl: 84.637563, tst_ppl: 78.244717, mean_rwd: -0.002485, exp_rwd_loss: 0.004595, update_loss: -1.955699
step: 65100, v_ppl: 84.637565, tst_ppl: 78.244717, mean_rwd: 0.000813, exp_rwd_loss: 0.005192, update_loss: 0.739411
step: 65200, v_ppl: 84.637560, tst_ppl: 78.244720, mean_rwd: -0.006854, exp_rwd_loss: 0.007896, update_loss: -5.552866
step: 65300, v_ppl: 84.637560, tst_ppl: 78.244714, mean_rwd: 0.003453, exp_rwd_loss: 0.004751, update_loss: 3.012068
step: 65400, v_ppl: 84.637560, tst_ppl: 78.244714, mean_rwd: -0.001386, exp_rwd_loss: 0.003755, update_loss: -0.866126
step: 65500, v_ppl: 84.637561, tst_ppl: 78.244720, mean_rwd: -0.009604, exp_rwd_loss: 0.010090, update_loss: -7.577772
step: 65600, v_ppl: 84.637558, tst_ppl: 78.244712, mean_rwd: -0.003303, exp_rwd_loss: 0.005409, update_loss: -2.481105
step: 65700, v_ppl: 84.637556, tst_ppl: 78.244712, mean_rwd: -0.002584, exp_rwd_loss: 0.003853, update_loss: -2.277576
step: 65800, v_ppl: 84.637547, tst_ppl: 78.244706, mean_rwd: 0.006813, exp_rwd_loss: 0.007635, update_loss: 5.090682
step: 65900, v_ppl: 84.637547, tst_ppl: 78.244708, mean_rwd: 0.002325, exp_rwd_loss: 0.004032, update_loss: 1.928085
step: 66000, v_ppl: 84.637549, tst_ppl: 78.244702, mean_rwd: 0.004681, exp_rwd_loss: 0.008174, update_loss: 3.836192
step: 66100, v_ppl: 84.637551, tst_ppl: 78.244703, mean_rwd: 0.002839, exp_rwd_loss: 0.003894, update_loss: 2.336710
step: 66200, v_ppl: 84.637545, tst_ppl: 78.244697, mean_rwd: -0.001452, exp_rwd_loss: 0.003280, update_loss: -1.115360
step: 66300, v_ppl: 84.637544, tst_ppl: 78.244700, mean_rwd: 0.003817, exp_rwd_loss: 0.006490, update_loss: 2.757493
step: 66400, v_ppl: 84.637544, tst_ppl: 78.244692, mean_rwd: -0.006108, exp_rwd_loss: 0.006713, update_loss: -5.161465
step: 66500, v_ppl: 84.637540, tst_ppl: 78.244696, mean_rwd: -0.007859, exp_rwd_loss: 0.009404, update_loss: -5.444633
step: 66600, v_ppl: 84.637540, tst_ppl: 78.244694, mean_rwd: 0.004881, exp_rwd_loss: 0.006215, update_loss: 3.635239
step: 66700, v_ppl: 84.637546, tst_ppl: 78.244698, mean_rwd: 0.005348, exp_rwd_loss: 0.006321, update_loss: 4.409649
step: 66800, v_ppl: 84.637546, tst_ppl: 78.244705, mean_rwd: 0.006038, exp_rwd_loss: 0.006722, update_loss: 4.815188
