train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:61401 source:(128, 18) loss:3.5655
step:61601 source:(128, 18) loss:3.57658
step:61801 source:(128, 18) loss:3.49659
step:62001 source:(128, 18) loss:3.4925
step:62201 source:(128, 18) loss:3.50356
step:62401 source:(128, 18) loss:3.51612
epoch:80 test_bleu:44.65920329093933 template_bleu:41.41384959220886
epoch:80 train_bleu:45.3153133392334 template_bleu:41.22559428215027
step:62601 source:(128, 18) loss:3.51475
step:62801 source:(128, 18) loss:3.5434
step:63001 source:(128, 18) loss:3.52322
step:63201 source:(128, 18) loss:3.56891
step:63401 source:(128, 18) loss:3.57822
step:63601 source:(128, 18) loss:3.55694
step:63801 source:(128, 18) loss:3.52086
step:64001 source:(128, 18) loss:3.4614
step:64201 source:(128, 18) loss:3.48973
step:64401 source:(128, 18) loss:3.47547
step:64601 source:(128, 18) loss:3.51865
step:64801 source:(128, 18) loss:3.56241
step:65001 source:(128, 18) loss:3.50556
step:65201 source:(128, 18) loss:3.54638
step:65401 source:(128, 18) loss:3.50868
step:65601 source:(128, 18) loss:3.54178
step:65801 source:(128, 18) loss:3.52773
step:66001 source:(128, 18) loss:3.54482
step:66201 source:(128, 18) loss:3.50144
step:66401 source:(128, 18) loss:3.52715
epoch:85 test_bleu:44.95978355407715 template_bleu:41.29336774349213
epoch:85 train_bleu:45.2816516160965 template_bleu:41.18741452693939
step:66601 source:(128, 18) loss:3.41582
step:66801 source:(128, 18) loss:3.46699
step:67001 source:(128, 18) loss:3.53151
step:67201 source:(128, 18) loss:3.52575
step:67401 source:(128, 18) loss:3.52528
step:67601 source:(128, 18) loss:3.49413
step:67801 source:(128, 18) loss:3.56461
step:68001 source:(128, 18) loss:3.47072
step:68201 source:(128, 18) loss:3.49822
step:68401 source:(128, 18) loss:3.57748
step:68601 source:(128, 18) loss:3.46831
step:68801 source:(128, 18) loss:3.56772
step:69001 source:(128, 18) loss:3.53935
step:69201 source:(128, 18) loss:3.4759
step:69401 source:(128, 18) loss:3.4609
